Complexity,Loss,Equation
1,0.0009969152,"0.10563097"
2,0.00013309203,"sqrt(x1)"
4,5.819663e-5,"sqrt(x1) + 0.008654212"
5,5.798648e-5,"sin(sqrt(x1)) + 0.008847442"
6,3.860156e-5,"sqrt((x0 * x1) / 0.7861454)"
7,3.7793594e-5,"sin(sqrt(x1 * (x0 / 0.78184)))"
8,3.5529716e-5,"(sqrt(x1 * x0) * 1.0701233) + 0.005900597"
9,3.257238e-5,"sqrt(x1 * ((sqrt(x1) - x0) * -1.400524))"
10,2.2093662e-5,"sqrt((((x1 * 8.555971) - x0) * x1) * -1.4602519)"
11,1.8769088e-5,"sqrt(0.8191896 * (x1 / cos(sin(log(x1)) * x0)))"
12,1.3779624e-5,"sqrt((x1 * -1.8386036) * ((x1 * 13.762571) - x0)) - 0.008775632"
13,1.3612484e-5,"sin(sqrt(((x1 * 13.762571) - x0) * (x1 * -1.8386036)) - 0.008775745)"
14,1.0294595e-5,"sin(sin(sqrt((x1 * ((x1 * 20.496395) - x0)) * -2.4277961) - 0.018003836))"
15,9.751983e-6,"sin(sqrt(x1 * (((x1 * 18.452951) - x0) * -1.4211597)) - 0.012671258) / 0.7940007"
16,8.989717e-6,"sqrt(((x0 - x1) * (x1 * 0.9527779)) / cos(sin(sin(log(x1 / x0)))))"
