Complexity,Loss,Equation
1,0.00096127705,"0.1028297"
2,8.285464e-5,"sqrt(x1)"
4,4.8646805e-5,"sqrt(x1) + 0.0058500217"
5,4.8343765e-5,"sin(sqrt(x1) + 0.006077116)"
6,3.2230593e-5,"sqrt((x0 * x1) / 0.8281032)"
7,3.157177e-5,"sin(sqrt(x0 * (x1 / 0.8238695)))"
8,2.2852217e-5,"sqrt(x0 * (x1 / 0.67636544)) - x1"
9,2.2642362e-5,"sin(sqrt((x0 * x1) / 0.67627424)) - x1"
10,2.235415e-5,"sin(sin(sqrt(x0 * (x1 / 0.66919905))) - x1)"
11,2.2144764e-5,"sin(sin(sin(sqrt((x0 * x1) / 0.66211057))) - x1)"
12,2.1847518e-5,"sin(sin(sin(sin(sqrt((x1 * x0) / 0.66210467)))) - x1)"
13,1.577528e-5,"exp((((log(x1) + x0) + -0.107029766) * 0.5566705) - (x1 / 0.07844539))"
15,9.854979e-6,"exp(0.89471716 + ((0.7313752 * ((-0.18311067 + x0) + log(x1))) - (x1 / 0.034787167)))"
16,9.699338e-6,"exp(exp(x1) + (((log(x1) + (x0 + -0.18507478)) * 0.7482796) - (x1 / 0.03252999)))"
17,6.9900134e-6,"exp(exp(square(x1)) + (((log(x1) + (x0 + -0.18507478)) * 0.7482796) - (x1 / 0.03252999)))"
18,5.9915888e-6,"exp(exp(square(log(x0))) + ((((x0 + log(x1)) + -0.18507478) * 0.7482796) - (x1 / 0.03252999)))"
19,5.3195054e-6,"sin(exp(exp(square(log(x0))) + ((((x0 + log(x1)) + -0.18507478) * 0.7482796) - (x1 / 0.03252999))))"
