Complexity,Loss,Equation
1,0.00096127705,"0.1028297"
2,8.285464e-5,"sqrt(x1)"
4,4.8646805e-5,"sqrt(x1) + 0.005848741"
5,4.8343765e-5,"sin(sqrt(x1) + 0.0060771154)"
6,3.2230593e-5,"sqrt((x0 * x1) / 0.82810307)"
7,3.157177e-5,"sin(sqrt((x0 * x1) / 0.82387084))"
8,2.3522436e-5,"(sqrt(x1 * x0) / 0.8281162) - x1"
9,2.2667344e-5,"sin(sqrt((x1 * x0) * 1.4850986) - x1)"
11,2.1874692e-5,"sqrt(x0 * (x1 / (x1 + 0.6630796))) - sin(x1)"
14,2.1868536e-5,"sqrt((x1 / (square(1.2474941 + x1) / square(-1.5360646))) * x0) - x1"
15,2.0958469e-5,"sqrt(x0 * (x1 / ((exp(x1) * (x1 * 3.1245604)) + 0.63447577))) - x1"
17,2.0958221e-5,"sqrt(x0 * (x1 / (((exp(x1) * (x1 * -2.009464)) * -1.5702096) + 0.6343079))) - x1"
