Complexity,Loss,Equation
1,0.0012621466,"0.09822899"
2,0.00036270148,"sqrt(x1)"
3,0.00036269924,"sqrt(sin(x1))"
4,0.00036114748,"sqrt(x1) + 0.001246576"
5,0.00036075656,"sin(sqrt(x1 / 0.9716345))"
6,0.00035707589,"sqrt(x1 / 0.7859925) - x1"
7,0.00035690397,"sin(sqrt(x1 / 0.7859925)) - x1"
8,0.00035690042,"sin(sqrt(sin(x1 / 0.7859925))) - x1"
9,0.00035685196,"sqrt(x1 / (x1 + 0.7772374)) - sin(x1)"
10,0.00035451888,"(sqrt(x1) * -1.9223797) + sin(sqrt(x1 * 8.959029))"
11,0.00035417863,"(sqrt(x1) * -1.9223797) + sin(sqrt(sin(x1 * 8.959029)))"
12,0.0003461396,"(sin(sin(x1 * -3.3966339)) + (sqrt(x1) * 1.5419185)) - 0.016290417"
13,0.00034611713,"(sin(sin(sin(x1 * -3.3966339))) + (sqrt(x1) * 1.5419185)) - 0.016290417"
15,0.00033740644,"(sqrt(x1) * -1.70022) + (sin(sin(sin(sin(sqrt(x1 * 10.302453))))) - 0.025231272)"
17,0.0003365271,"(sin(sin(sin(sin(sqrt(x1 * (x0 + 11.171163)))))) + (sqrt(x1) * -1.8504891)) - 0.03155637"
19,0.00033650367,"(sin(sin(sin(sqrt(sin(x1 * (x0 + 10.617192)))))) + ((sqrt(x1) * -1.7412885) - 0.031395834)) - x1"
