Complexity,Loss,Equation
1,0.0012621466,"0.098225415"
2,0.00036270148,"sqrt(x1)"
3,0.00036269924,"sqrt(sin(x1))"
4,3.9066577e-5,"x0 * sqrt(x1)"
5,3.9065737e-5,"x0 * sqrt(sin(x1))"
6,3.613564e-5,"x0 * (sqrt(x1) + 0.0016937327)"
7,2.7008844e-5,"sqrt(sqrt(x0) * x1) * x0"
8,2.42441e-5,"(x0 * sqrt(x1 / 0.78744644)) - x1"
9,2.4239762e-5,"(x0 * sqrt(sin(x1 / 0.78744644))) - x1"
10,1.872913e-5,"(x0 * sqrt(x1 / 0.70217675)) - (x1 - -0.0072086058)"
11,1.841564e-5,"sin((x0 * sqrt(x1 / 0.69555885)) - (x1 - -0.00753499))"
12,1.6221573e-5,"(sqrt(x1 / 0.67222506) * (x0 - x1)) - (x1 - -0.008344167)"
13,1.2169015e-5,"sin((x0 * (sqrt(x1 / 0.54889363) - x1)) - (x1 - -0.01162451))"
14,1.2111815e-5,"sin(sin((x0 * (sqrt(x1 / 0.54889363) - x1)) - (x1 - -0.01162451)))"
17,9.94972e-6,"((x0 - x1) * sqrt(x1 / (x0 * sqrt(x1 / 0.29470944)))) - (x1 - -0.11478409)"
