Complexity,Loss,Equation
1,0.0012144963,"0.09526445"
2,0.0003505992,"sqrt(x1)"
3,0.00034952667,"sin(sqrt(x1))"
4,3.4908706e-5,"sqrt(x1) * x0"
5,3.4027224e-5,"x0 * sin(sqrt(x1))"
6,3.0149404e-5,"sqrt(x1) * (x0 - x1)"
7,2.9950043e-5,"sin(sqrt(x1)) * (x0 - x1)"
8,2.8974895e-5,"sqrt(x1) * (x0 - (x1 / x0))"
9,2.3023762e-5,"(x0 - sqrt(x1)) * (x1 + sqrt(x1))"
10,2.2605253e-5,"(x0 - sqrt(x1)) * sin(x1 + sqrt(x1))"
11,2.1136635e-5,"(x0 - x1) * sqrt(sqrt((x0 * x1) * x1))"
12,1.771554e-5,"x1 + sqrt(((x0 * x0) - (x1 / 0.05759167)) * x1)"
