Complexity,Loss,Equation
1,0.0010449192,"0.10296978"
2,6.94068e-5,"sqrt(x1)"
4,2.961416e-5,"sqrt(x1 * 1.1281911)"
5,2.9197841e-5,"sin(sqrt(x1 * 1.1339267))"
6,2.3796356e-5,"sqrt(x0 * (x1 * 0.29704463))"
7,2.3373757e-5,"sin(sqrt((x0 * 0.29857755) * x1))"
8,1.5063439e-5,"sqrt(x1) + (sin(log(x1)) * 0.008823509)"
9,1.4604462e-5,"sin((sin(log(x1)) * 0.009117252) + sqrt(x1))"
10,1.1097778e-5,"((sin(log(x1)) + -0.3538176) * 0.014961936) + sqrt(x1)"
11,1.0443801e-5,"(sin(log(x1)) * 0.016501948) + sqrt(sin(x1 * 0.8711337))"
13,1.0347243e-5,"sin(sin(sin(sqrt(x1)))) + (0.014961936 * (-0.3538176 + sin(log(x1))))"
14,6.525886e-6,"(((x1 * sin(log(x1 + x1))) * 2.7106616) + sqrt(x1)) - 0.007149614"
