Complexity,Loss,Equation
1,0.0010806458,"0.10567263"
2,0.00011694241,"sqrt(x1)"
4,3.541359e-5,"sqrt(x1 * 1.1858641)"
5,3.4860375e-5,"sin(sqrt(x1) * 1.091903)"
6,2.8080758e-5,"sqrt(x0 * x1) * 0.55880046"
7,2.6388207e-5,"sin(sqrt(x1 * x0)) * 0.56354755"
8,2.417366e-5,"sin(sin(x0 * sqrt(x1))) * 0.30469456"
10,8.525327e-6,"(-0.04441455 - (sqrt(x1) / -0.45351315)) - (x1 / 0.1615042)"
11,8.29035e-6,"(x1 - (x1 / 0.15431629)) / (-0.2016926 - (x1 / 0.035895117))"
13,2.4591802e-6,"(0.019225545 - sqrt(x1)) / ((-0.7703529 - (x1 / 0.056365475)) / log(x0))"
14,2.423797e-6,"sin((0.019225545 - sqrt(x1)) / ((-0.7703529 - (x1 / 0.056365475)) / log(x0)))"
