Complexity,Loss,Equation
1,0.0011094637,"0.107668996"
2,0.00015447152,"sqrt(x1)"
4,3.168459e-5,"sqrt(x1 * 1.2303164)"
5,3.10625e-5,"sin(sqrt(x1 * 1.2372113))"
6,2.6339665e-5,"sqrt(x1 * 1.4929067) - x1"
7,2.633195e-5,"sqrt(sin(x1 * 1.4930546)) - x1"
8,2.6171629e-5,"(sqrt(x1) * (1.2303164 - x1)) - x1"
9,2.6123262e-5,"(sin(sqrt(x1 * 2.162296)) - x1) / 1.2178134"
10,8.9277855e-6,"sin(sqrt(sqrt(x1) / 2.1025066) + 0.17354505) + -0.26798066"
11,8.843671e-6,"sin(sin(sqrt(sqrt(x1) / 2.1025066) + 0.17354505) + -0.26798066)"
