Complexity,Loss,Equation
1,0.0011229649,"0.10872489"
2,0.00017936436,"sqrt(x1)"
4,3.1648444e-5,"sqrt(x1 * 1.2538847)"
5,3.0971347e-5,"sin(sqrt(x1 * 1.2610607))"
6,2.5676874e-5,"sqrt(x1 * 1.5264586) - x1"
7,2.547505e-5,"sin(sqrt(x1 * 1.5264586) - x1)"
8,2.1975238e-5,"sqrt(x1) * ((x1 * -6.604177) - -1.2069929)"
9,2.197371e-5,"((x1 * -6.604177) - -1.2069929) * sqrt(sin(x1))"
10,2.0163841e-5,"((x1 * -8.063996) - -1.1098342) * (sqrt(x1) + x1)"
11,1.8498808e-5,"((x1 * -9.593937) - -1.133911) * (sqrt(x1) + sin(x1))"
13,1.8197117e-5,"(((x1 * -10.657856) + 0.59344417) - -0.5548247) * (sqrt(x1) + sin(x1))"
14,1.8185767e-5,"(((x1 * exp(exp(x1))) * -3.5823174) - -1.1397057) * (x1 + sqrt(x1))"
15,1.0520321e-5,"(sqrt(x1) + x1) * ((exp(x1 * 87.21937) * (x1 * -1.7379953)) - -1.0983524)"
16,1.05159625e-5,"sin(sqrt(x1) + x1) * ((exp(x1 * 87.21937) * (x1 * -1.7379953)) - -1.0983524)"
20,9.914016e-6,"((sqrt(x1) + x1) * (((x1 * (exp(x1 * 87.22058) * -1.7718922)) - -1.0059397) - x1)) + sin(x1)"
