Complexity,Loss,Equation
1,0.0010796656,"0.10551061"
2,0.000106107254,"sqrt(x1)"
4,2.6745643e-5,"sqrt(x1 / 0.8451292)"
5,2.6234804e-5,"sin(sqrt(x1 / 0.84058857))"
6,2.304905e-5,"sqrt(x1 * 1.4410871) - x1"
7,2.3043836e-5,"sqrt(sin(x1 * 1.4410871)) - x1"
8,2.2840339e-5,"x1 / (0.039592654 + (x1 / sin(0.22124302)))"
9,8.2092345e-7,"x1 / ((x1 / (0.22124302 - x1)) + 0.039592654)"
10,5.0969595e-7,"x1 / ((x1 / sin(0.22124302 - x1)) + 0.039592654)"
17,5.096122e-7,"x1 / ((x1 / sin(0.22124302 - (x1 / sin((x1 / x1) - -0.5555472)))) + 0.039592654)"
