Complexity,Loss,Equation
1,0.0010825107,"0.10560121"
2,0.00010750648,"sqrt(x1)"
4,2.6325362e-5,"sqrt(x1 * 1.185465)"
5,2.5820327e-5,"sin(sqrt(x1 * 1.1917926))"
6,2.277505e-5,"sqrt(x1 * 1.4434872) - x1"
7,2.2725882e-5,"sin(sqrt(x1) * 1.2053037) - x1"
8,1.6348282e-5,"(sqrt(x1) - (x1 + 0.0076918104)) * 1.3429916"
9,1.5662341e-5,"1.3429916 * (sin(sqrt(x1)) - (x1 + 0.0076918104))"
10,5.3084304e-6,"(sqrt(x1) - ((x1 + 0.014781016) + x1)) * 1.7142001"
11,5.2024357e-6,"sin((sqrt(x1) - ((x1 + 0.01478076) + x1)) * 1.7141174)"
12,1.0459886e-6,"((sqrt(x1) * 0.7487998) - ((x1 + x1) + 0.014436353)) * 2.8095036"
19,1.026305e-6,"(sqrt(x1 * 0.5518174) - ((x1 + x1) + 0.0144394655)) * ((inv(x1) * (x1 / 0.44043195)) + 0.5831197)"
