Complexity,Loss,Equation
1,0.0011280252,"0.10894941"
2,0.00018511922,"sqrt(x1)"
4,3.154103e-5,"sqrt(x1 * 1.2591377)"
5,3.0862262e-5,"sin(sqrt(x1 / 0.7896589))"
6,2.902267e-5,"sqrt(x1 / 0.6759114) - x1"
7,2.674498e-5,"sqrt(x1 / (0.6759114 + sqrt(x1)))"
8,2.594638e-5,"(sqrt(x1) - x1) * (x1 - -1.2514942)"
9,2.5946256e-5,"(sin(x1) - -1.2514942) * (sqrt(x1) - x1)"
10,1.1631079e-6,"sin(0.21662597 / ((-0.063214645 / (x1 / -0.122561716)) + 1.064665))"
12,1.0054686e-6,"sin(0.21254371 / (x1 + ((-0.0791415 / (x1 / -0.09774474)) + 1.0187151)))"
13,8.013234e-7,"(0.25055516 / ((1.0106157 + x1) + (-0.08926574 / (x1 / -0.10429475)))) - x1"
14,6.443222e-7,"(0.20123124 / ((x1 + (-0.06902698 / (x1 / -0.10741076))) + 0.8156571)) - sin(x1)"
16,6.351127e-7,"(0.268159 / (x1 + ((-0.0672365 / (x1 / -0.14636871)) + 1.0946914))) - sin(sin(sin(x1)))"
18,6.142408e-7,"sin(sin((0.2514581 / ((x1 + 1.0103639) + (-0.0900675 / ((x1 / -0.104510516) + -0.000889153)))) - sin(x1)))"
