Complexity,Loss,Equation
1,0.001080646,"0.10567342"
2,0.00011694241,"sqrt(x1)"
4,3.5413592e-5,"sqrt(x1 * 1.1858771)"
5,3.486038e-5,"sin(sqrt(x1 * 1.1922818))"
6,2.8080758e-5,"sqrt(x1 * x0) * 0.5587984"
7,2.6388207e-5,"sin(sqrt(x0 * x1)) * 0.56354755"
8,2.3483255e-5,"sqrt((x1 * 0.38017386) * x0) - x1"
9,2.3360359e-5,"sin(sqrt(x0 * (x1 * 0.3826257))) - x1"
10,1.9860965e-5,"(sqrt((x1 * 0.41968712) * x0) + -0.0064695063) - x1"
12,5.7688594e-6,"(sqrt((x1 * 1.041003) * x0) + -0.03528803) + (x1 * -5.037302)"
13,5.40582e-6,"((x1 * -4.1280518) + -0.030324874) + sin(sqrt(x1 * (x0 * 0.9044006)))"
14,4.729636e-6,"((-0.41286045 - x0) * x1) + (-0.028769335 + sqrt(0.87670726 * (x0 * x1)))"
15,3.7456527e-6,"((x1 * (-0.24326712 - x0)) + -0.028769335) + sin(sqrt((x1 * 0.87670726) * x0))"
16,2.8541506e-6,"(((-0.51994014 - x0) + -0.1709507) * x1) + (sqrt((x0 * x1) * 0.9452364) + -0.031831086)"
18,2.1952824e-6,"(((x1 * (-0.24788137 - x0)) + -0.028566826) * 1.2551453) + sqrt((x1 * (x1 + x0)) * 1.0472965)"
20,1.9765077e-6,"((sqrt(x1 * x0) + (-0.035803497 - x1)) * 1.040208) + ((((x0 + -0.6438913) / 0.9606596) * x1) * -1.2700835)"
