Complexity,Loss,Equation
1,0.001080646,"0.10567342"
2,0.00011694241,"sqrt(x1)"
4,3.541359e-5,"sqrt(x1 * 1.1858672)"
5,3.4860375e-5,"sin(sqrt(x1 * 1.1922725))"
6,3.0820054e-5,"sqrt(x1 * 1.443942) - x1"
7,2.8257266e-5,"sqrt(log(x0 - 0.5482846) * x1)"
8,2.7140812e-5,"((sqrt(x1) * 1.2629929) - x1) + -0.0065147965"
9,1.9817566e-5,"-0.009518644 + (log(x0) * (sqrt(x1) - x1))"
10,1.9055571e-5,"-0.009518644 + sin((sqrt(x1) - x1) * log(x0))"
11,1.8553537e-5,"sin(sin(log(x0) * (sqrt(x1) - x1))) + -0.009323383"
12,1.8183788e-5,"sin(sin(sin(log(x0) * (sqrt(x1) - x1))) + -0.009069729)"
14,1.7856344e-5,"sin(log((x0 - x1) * 1.0098076) * ((sqrt(x1) - x1) + -0.0076866834))"
16,1.5610318e-5,"sin(sqrt(x1 * log(x0 + ((-0.8769305 * 0.26999477) / (0.9816521 + cos(log(x1)))))))"
18,1.2308072e-5,"((x0 * ((sqrt(x1) * 1.1409665) - ((x1 + x1) / 0.53158605))) + 0.062660046) * sqrt(sqrt(x1))"
20,9.874893e-6,"sin(sin(sqrt(sqrt(x1)) * (((sqrt(x1 * 1.78561) - ((x1 + x1) / 0.4233224)) * x0) + 0.03218677)))"
