Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
4,3.4365094e-5,"sqrt(x1 / 0.86443144)"
5,3.3882447e-5,"sin(sqrt(x1 * 1.1628766))"
6,3.0393745e-5,"sqrt(sqrt(log(x0)) * x1)"
7,1.5120189e-5,"sqrt(sqrt(x1 * 0.1581135)) - 0.08939004"
9,1.51109125e-5,"(sqrt(sqrt(x1 * 0.510069)) * 0.7442097) - 0.08884025"
10,1.2593427e-5,"sqrt(sqrt(sqrt(x1 * 0.5596321) * 0.268582)) - 0.2653016"
11,1.2573716e-5,"sin(sqrt(sqrt(sqrt(x1 * 0.22865081)) * 0.6559804) - 0.2672589)"
14,6.279046e-6,"(sqrt(sqrt(sqrt((x1 * 0.20206216) * (x0 * 0.26448953)))) * 0.8179573) - 0.2656184"
15,6.2782765e-6,"(0.8179573 * sqrt(sqrt(sqrt((sin(x1) * 0.20206216) * (0.26448953 * x0))))) - 0.2656184"
