Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
4,3.4365097e-5,"sqrt(x1 * 1.156857)"
5,3.3882447e-5,"sin(sqrt(x1 * 1.1629238))"
6,2.7798207e-5,"sqrt((x1 * 0.30460617) * x0)"
7,2.6402324e-5,"sin(sqrt(x0 * x1)) * 0.55481946"
8,2.4029847e-5,"(0.5651158 - x1) * sqrt(x1 * x0)"
9,2.1907745e-5,"sin(sqrt(x0 * (x1 * 6.0002747))) * 0.23705126"
15,1.012471e-5,"sqrt(square(sin((x1 * square(x0)) * 0.7918701) * log(x0 * sqrt(x1))))"
16,6.741134e-6,"sqrt(square(((0.7918701 * (x1 * square(x0))) - -0.001475813) * log(x0 * sqrt(x1))))"
17,5.9474323e-6,"sqrt(0.74184257 * square(sin(x1 * square(x0)) * log(x0 * (sqrt(x1) * 1.04769))))"
18,5.4341003e-6,"sqrt(square(x1 * (square(x1 - x0) * log(sqrt(x1) * (x0 * 1.0510497)))) * 0.7372662)"
19,5.2899304e-6,"sqrt(square(sin((x1 * (x1 - square(x0))) * log(sqrt(x1) * (x0 * 1.0525945)))) * 0.7363592)"
