Complexity,Loss,Equation
1,0.00106461,"0.10432522"
2,9.31746e-5,"sqrt(x1)"
4,3.4365094e-5,"sqrt(x1 * 1.1568515)"
5,3.388245e-5,"sin(sqrt(x1 * 1.1629362))"
6,3.0393745e-5,"sqrt(sqrt(log(x0)) * x1)"
7,2.778464e-5,"sqrt(log(x0 + -0.61276466) * x1)"
8,2.6505228e-5,"-0.0071128863 + (sqrt(x1 * 1.5755717) - x1)"
9,2.5875286e-5,"(sin(sqrt(x1 * 1.6043699)) + -0.0077281697) - x1"
10,2.5359e-5,"sin(sin(sqrt(x1 * 1.6043699)) + -0.0077281697) - x1"
11,2.0300393e-5,"sin(sqrt(x1 * log(x0 * cos(x1 * -35.895855))))"
12,1.7250735e-5,"sqrt(log((cos(-30.976542 * x1) * x0) + -0.26366687) * x1)"
13,1.7112314e-5,"sqrt(log((cos(x1 * -32.92623) * x0) + -0.2099815) * sin(x1))"
15,5.6131125e-6,"sqrt(log(2.6716933 + x0) * (x1 * cos(x1 * -42.502743))) - sin(0.017891526)"
17,5.6000727e-6,"sqrt(x1 * (log(x0 + 2.5817919) * (cos(x1) * cos(x1 * -41.780895)))) - 0.017738165"
18,5.5860955e-6,"sqrt(log(x0 + 2.6716928) * (x1 * cos(x1 * (cos(sqrt(x1)) * -42.502743)))) - 0.01800877"
20,4.9371242e-6,"sqrt((log(x0 + 2.6716933) * x1) * cos(x1 * (cos(2.6716933 + x0) * -42.502743))) - sin(0.017891526)"
