Complexity,Loss,Equation
1,0.00106461,"0.10432522"
2,9.31746e-5,"sqrt(x1)"
4,3.4365097e-5,"sqrt(x1 / 0.864424)"
5,3.3882443e-5,"sin(sqrt(x1 / 0.8599153))"
6,2.7798209e-5,"sqrt((x1 * x0) * 0.3046056)"
7,1.5110927e-5,"sqrt(sqrt(x1 / 6.392526)) + -0.08883235"
8,1.47430765e-5,"sin(sqrt(sqrt(x1 / 5.9475217))) + -0.09097792"
9,1.1651638e-5,"sqrt(sqrt(x1 * 0.287571)) - (x1 + 0.1102824)"
11,9.077821e-6,"-0.1330083 + (sqrt(sqrt(x1 * 0.1551848)) + (x0 * 0.011729077))"
15,7.785124e-6,"x1 + ((x0 * 0.015900819) + (sqrt((sqrt(x1) * 0.52872944) - x1) + -0.16676942))"
17,5.4376965e-6,"(x1 + (sqrt(sqrt(x1 * 0.2877549)) + (x0 * 0.014082871))) + (-0.16383953 - (x1 + x1))"
18,5.412291e-6,"sin((x1 + ((sqrt(sqrt(x1 * 0.2921902)) + (x0 * 0.014551911)) - (x1 + x1))) + -0.16624847)"
