Complexity,Loss,Equation
1,0.00106461,"0.10432522"
2,9.31746e-5,"sqrt(x1)"
4,3.4365097e-5,"sqrt(x1 * 1.156857)"
5,3.3882447e-5,"sin(sqrt(x1 * 1.1629181))"
6,3.0886615e-5,"sqrt(x1 * 1.4119048) - x1"
8,2.4344836e-5,"((sqrt(x1) - x1) * 1.3170815) - 0.009846772"
9,1.552218e-5,"sqrt(square(-0.09026326 - (sqrt(sqrt(x1)) * -0.6353495)))"
10,1.500149e-5,"sin(sqrt(square(-0.090164185 - (-0.6348346 * sqrt(sqrt(x1))))))"
11,1.2300745e-5,"square(sqrt(-0.10397289 - ((sqrt(sqrt(x1)) - x1) * -0.70173043)))"
12,1.2292666e-5,"sin(square(sqrt(-0.10397262 - ((sqrt(sqrt(x1)) - x1) * -0.70172966))))"
13,1.221069e-5,"sin(sqrt(sin(square(((sqrt(sqrt(x1)) - x1) * -0.7049344) - -0.10467824))))"
14,1.1330498e-5,"(x1 * square(sin(log(x1 * 1.5121652)) * log(x0))) + sqrt(x1)"
15,9.087109e-6,"(x1 * log(square(sin(log(x1 / 0.78491056))) * x0)) + sin(sqrt(x1))"
16,8.875314e-6,"(sqrt(x1) - 0.0019637004) + (square(log(x0) * sin(log(x1 * 1.4172128))) * x1)"
17,8.637066e-6,"(square(log(x0) * sin(log(x1 * 1.4172128))) * x1) + (sin(sqrt(x1)) - 0.0019637004)"
18,8.512063e-6,"(square(log(x0) * sin(log(x1 * 1.4172128))) * x1) + (sin(sin(sqrt(x1))) - 0.0019637004)"
19,8.485678e-6,"sin(sin(sin(sqrt(x1) - 0.0019637004))) + (square(log(x0) * sin(log(1.4172128 * x1))) * x1)"
20,8.448358e-6,"(sin(sin(sqrt(x1))) - 0.0019637004) + (square(sin(log(x1 * 1.4172128)) * log(x0)) * (1.1045041 * x1))"
