Complexity,Loss,Equation
1,0.00106461,"0.10432522"
2,9.31746e-5,"sqrt(x1)"
4,3.4365097e-5,"sqrt(x1 / 0.8643993)"
5,3.3882447e-5,"sin(sqrt(x1 * 1.1628766))"
6,3.0393745e-5,"sqrt(x1 * sqrt(log(x0)))"
7,2.9719327e-5,"sqrt(0.8872895 * (x1 * log(x0)))"
8,2.744973e-5,"sin(sqrt(log(x0 * 0.8431042) * x1))"
9,2.6508293e-5,"sin(-0.0071088346 - x1) + (sqrt(x1) * 1.2551664)"
10,2.5021927e-5,"sin(sqrt(sin(x1 + x1)) * x0) * 0.21337341"
11,2.1918378e-5,"sin(((x0 + 2.3333976) * sqrt(x1)) * 0.8059271) * 0.22892244"
12,2.0041782e-5,"(-0.007173848 - sin(x1)) + (sqrt(x1 * log(x0)) * 1.0875223)"
18,1.8183855e-5,"(((x1 - 0.09003809) / x0) + sin(sin((x0 - -1.3656117) * sqrt(x1 * 0.6022147)))) * 0.30328706"
19,1.28201855e-5,"(sin(sin(sin(((x0 - -1.1716679) * sqrt(x1 * 0.92731893)) - (0.16540758 / x0)))) + x1) * 0.26972455"
20,6.45501e-6,"(sin(sqrt(sin(sin(((x0 - -0.0033200202) + 0.023199862) * ((x1 * 1.1121216) + sqrt(x1)))))) * 0.37952748) - 0.112868786"
