Complexity,Loss,Equation
1,0.00106461,"0.10432522"
2,9.31746e-5,"sqrt(x1)"
4,3.4365097e-5,"sqrt(x1 * 1.156857)"
5,3.388245e-5,"sin(sqrt(x1 * 1.1629362))"
6,2.7798218e-5,"sqrt((x0 * 0.3046171) * x1)"
8,2.7798209e-5,"sqrt(((x1 / 0.12464061) * x0) * 0.03796472)"
9,2.6117823e-5,"sin((sqrt(x1) * 1.2620503) - x1) + -0.0074851173"
11,2.05736e-5,"(-0.012234472 - sin(x1)) + (sqrt(x1 + x1) - x1)"
15,1.9928564e-5,"sin(x1 + sqrt((sqrt((0.041007284 - sin(x1)) * x0) / 0.34698698) * x1))"
16,1.933895e-5,"sin(sqrt(x1 + ((sin(x0 - -0.37545013) * -0.7054246) * x1)) + -0.007567639) - x1"
17,1.8648669e-5,"(-0.008207539 - x1) + sin(sin(sqrt(x1 + (sin(x0 - -0.37935984) * (x1 * -0.7378243)))))"
18,1.8004474e-5,"sin(sin(sin(sqrt(x1 + (sin(x0 - -0.3944563) * (x1 * -0.7626193)))))) + (-0.0087988 - x1)"
19,1.8000843e-5,"sin(sin(sin(sqrt(sin(x1) + ((x1 * -0.7626193) * sin(x0 - -0.3944563)))))) + (-0.0087988 - x1)"
20,1.4781583e-5,"(-0.016592065 - x1) + (sqrt(x1 + (sin(x1) + ((x1 * sin(x0 - 0.21760032)) * -0.30867922))) - x1)"
