Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48347875"
4,3.300628e-5,"sin(x1 ^ 0.48293477)"
5,3.1327236e-5,"(x1 ^ 0.46958935) - 0.0071099927"
6,2.8163497e-5,"sqrt(x0 * x1) / 1.801922"
7,1.8684885e-5,"((x1 ^ 0.41111887) - x1) + -0.031107826"
8,1.7856986e-5,"(-0.032536183 - x1) + sin(x1 ^ 0.40821362)"
9,1.1486752e-5,"(x1 ^ 0.35716107) + ((-0.061893973 - x1) - x1)"
10,1.1297529e-5,"(sin((x1 ^ 0.35445243) + -0.06349985) - x1) - x1"
11,1.0703904e-5,"(x1 ^ 0.33793464) - ((x1 / 0.29482526) - (x1 + -0.07521554))"
12,1.0685721e-5,"(x1 ^ 0.32982904) - ((x1 / 0.28449756) - (x1 + sin(-0.08182313)))"
16,7.82403e-6,"-0.016215507 + ((x1 ^ ((0.33946183 ^ x0) + 0.4315081)) - square(0.35826015 ^ (0.040523354 / x1)))"
17,7.823913e-6,"(sin(x1) ^ (0.4315081 + (0.33946183 ^ x0))) + (-0.016215507 - square(0.35826015 ^ (0.040523354 / x1)))"
18,5.785594e-6,"(-0.0465977 - square(0.341813 ^ (0.07276024 / (x1 ^ 0.79808396)))) + (x1 ^ ((0.26865613 ^ x0) + 0.38742447))"
20,4.1080434e-6,"((x1 ^ ((0.35322317 ^ x0) + 0.41060224)) + -0.023689168) - square((0.41146538 ^ x0) + (0.37163052 ^ (0.044056747 / x1)))"
