Complexity,Loss,Equation
1,0.00106461,"0.10432145"
3,3.33026e-5,"x1 ^ 0.48348355"
4,3.3006287e-5,"sin(x1 ^ 0.48293287)"
5,3.2744654e-5,"sin(sin(x1 ^ 0.48238447))"
6,2.8279002e-5,"x1 ^ cos(1.0168694 ^ x0)"
7,2.78898e-5,"sin(x1 ^ cos(1.0172585 ^ x0))"
8,2.706693e-5,"x1 ^ cos((1.0045077 ^ x0) ^ x0)"
9,2.6562633e-5,"sin(x1 ^ cos((1.0045077 ^ x0) ^ x0))"
10,2.623917e-5,"sin(sin(x1 ^ cos((1.0045077 ^ x0) ^ x0)))"
11,2.4364628e-5,"x1 / ((x1 / 0.7843575) + ((x1 / x0) ^ 0.42357463))"
13,2.2614007e-5,"x1 / (x1 + ((((x1 / x0) / 0.13316627) ^ 0.47281832) / 1.901093))"
14,1.936727e-5,"x1 / (sin((x1 / (x0 / 0.71192825)) ^ 0.41321337) + (x1 * 1.747461))"
20,1.7869459e-5,"sin(x1 / (((x1 / (x0 / 0.82778794)) ^ 0.42357463) + ((x1 * 0.64864707) / (0.47998413 / 0.68688077)))) - x1"
