Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.3302604e-5,"x1 ^ 0.4834825"
4,3.3006283e-5,"sin(x1 ^ 0.48293573)"
5,3.132776e-5,"(x1 ^ 0.4695639) + -0.007091675"
6,2.7798209e-5,"sqrt(x1 * x0) * 0.5519078"
7,1.933244e-5,"((x1 ^ 0.4192745) + -0.02547952) - x1"
10,1.1957021e-5,"sqrt(x1 / 0.3107777) - ((x1 - -0.0071638096) * 3.9879534)"
18,1.18222815e-5,"sin(sqrt(x1 / (0.75536627 ^ (cos(cos(log(x1))) ^ (3.608807 ^ (0.9620584 / cos(cos(x0))))))))"
20,1.178685e-5,"sqrt(x1 / (0.75536627 ^ (cos(cos(log(x1))) ^ (3.608807 ^ (0.9620584 / cos(square(-0.2395567) - cos(x0)))))))"
