Complexity,Loss,Equation
1,0.00106461,"0.10432145"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348337"
4,3.300628e-5,"sin(x1 ^ 0.48293337)"
5,3.2744647e-5,"sin(sin(x1 ^ 0.48238006))"
6,3.2517764e-5,"sin(sin(sin(x1 ^ 0.48183733)))"
7,9.359158e-6,"(0.19673038 / (x1 + 0.0074641732)) * x1"
8,9.338661e-6,"sin(x1 * (0.19673038 / (x1 + 0.0074641732)))"
9,9.338652e-6,"sin(sin(x1) * (0.19673038 / (0.0074641732 + x1)))"
10,9.32115e-6,"sin((x1 * 0.39479002) / ((x1 + x1) + 0.015032468))"
12,9.296876e-6,"sin(x1) * (((0.1970914 / (x1 + 0.0075145015)) + 0.0075145015) - x1)"
13,9.222625e-6,"((0.19673038 / (x1 + 0.0074641732)) + (x1 * cos(x0))) * sin(x1)"
14,8.932917e-6,"(0.20529442 / (x1 + square((x1 / sqrt(exp(x0))) + 0.08903837))) * x1"
16,3.5822325e-6,"x1 * ((cos(x0 + 0.8611278) - x1) + ((0.19673038 / (x1 + 0.0074641732)) + x1))"
18,3.4831787e-6,"(x1 * (0.20608185 / (x1 + 0.007998844))) + ((x1 + (cos(x0 + 0.7134947) * x1)) - x1)"
