Complexity,Loss,Equation
1,0.00106461,"0.104322515"
2,9.31746e-5,"sqrt(x1)"
3,3.3302604e-5,"x1 ^ 0.48348752"
4,3.3006305e-5,"sin(x1 ^ 0.482942)"
5,3.2744654e-5,"sin(sin(x1 ^ 0.48238584))"
7,1.5110925e-5,"(sqrt(sqrt(x1)) * 0.62888813) - 0.0888276"
8,1.2593361e-5,"(sqrt(sqrt(sqrt(x1))) * 0.6695965) + -0.2653426"
9,1.2564046e-5,"(sqrt(sin(sqrt(sqrt(x1)))) * 0.6934254) - 0.27532402"
12,1.2387793e-5,"(0.2510011 ^ x1) * ((sqrt(sqrt(sqrt(x1))) * 0.69231325) + -0.27614868)"
13,1.2282063e-5,"(-0.2653426 + (sqrt(sqrt(sqrt(x1))) * 0.6695965)) * (0.9937415 ^ sin(x0))"
15,6.913233e-6,"((sqrt(sqrt(sqrt(x1))) * 0.72247744) * (sin(0.25371554 - x0) ^ x1)) + -0.28999943"
