Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
4,3.33026e-5,"sqrt(x1 ^ 0.9669623)"
5,3.30773e-5,"sin(sqrt(x1 ^ 0.96696883))"
6,2.7798209e-5,"sqrt(x0 * (x1 * 0.30460316))"
7,9.753562e-6,"x1 / ((x1 / 0.20091061) + 0.03911491)"
9,3.1670531e-6,"x1 / ((0.14502937 / x0) + (x1 / 0.19714466))"
10,3.1600757e-6,"sin(x1 / ((x1 / 0.19813608) + (0.14522918 / x0)))"
11,3.1354589e-6,"x1 / ((x1 / 0.19755858) + (0.1425376 / (x0 + -0.07836052)))"
12,2.5581703e-6,"sin((x1 / ((0.14733686 / x0) + (x1 / 0.23667698))) - x1)"
15,2.533596e-6,"(x1 / (((0.14728247 / x0) / (0.15174863 ^ x1)) + (x1 / 0.23981972))) - x1"
