Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348203"
4,3.300628e-5,"sin(x1 ^ 0.48293468)"
5,3.2744658e-5,"sin(sin(x1 ^ 0.48238572))"
6,1.3988282e-5,"sin(x1 ^ 0.08752018) + -0.5077494"
9,1.382086e-5,"sin(sin(x1 ^ 0.09973058) + -0.46815777) / 1.0902231"
10,1.288058e-5,"sin(sin((sin(x1 ^ 0.12858814) / 1.2856754) + -0.29627496))"
11,1.2821441e-5,"sin(sqrt(exp(exp(x1 * -43.920082)) * x1)) + -0.026903639"
12,1.0823705e-5,"sqrt(x1 * exp(exp((x1 * -43.9401) + 0.27892867))) + -0.041104987"
13,8.275006e-6,"sqrt((exp(x1 * (-31.457676 - x2)) * x1) * 2.8637116) + -0.031731684"
16,7.2319176e-6,"sin(sqrt(x1 * exp(exp(x1 * -43.638912) * exp(x0 * 0.08569994))) + -0.04337342)"
