Complexity,Loss,Equation
1,0.00106461,"0.10432145"
2,9.31746e-5,"sqrt(x1)"
3,3.3302596e-5,"x1 ^ 0.48348373"
4,3.3006276e-5,"sin(x1 ^ 0.48293474)"
5,3.1305055e-5,"(x1 ^ 0.46802264) - 0.0079566045"
6,3.062491e-5,"sin(x1 ^ 0.46397248) - 0.009510402"
7,1.5110929e-5,"(sqrt(sqrt(x1)) * 0.6289023) + -0.088831745"
8,1.2593361e-5,"(sqrt(sqrt(sqrt(x1))) * 0.6695965) + -0.2653426"
9,1.1651129e-5,"((sqrt(sqrt(x1)) * 0.7318699) + -0.11015793) - x1"
10,1.14382665e-5,"((sin(sqrt(sqrt(x1))) * 0.764263) - x1) + -0.11613937"
11,1.1427679e-5,"sin(((sin(sqrt(sqrt(x1))) * 0.76717293) + -0.116774514) - x1)"
13,8.11711e-6,"((sqrt(sin(sin(sqrt(sqrt(x1))))) * 0.5302768) + -0.20936488) * log(x0)"
14,8.087768e-6,"((((x0 ^ x0) * 0.00011406042) + 0.63707596) * sin(sqrt(sqrt(x1)))) + -0.094039164"
15,7.395146e-6,"((((x0 ^ x0) * 0.00011594631) + 0.6649575) * sin(sin(sqrt(sqrt(x1))))) + -0.0991894"
16,5.245725e-6,"((-0.14295274 - x1) + ((x0 * x0) * 0.0018528817)) + (sin(sqrt(sqrt(x1))) * 0.7642628)"
