Complexity,Loss,Equation
1,0.00106461,"0.10432145"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348543"
4,3.3006276e-5,"sin(x1 ^ 0.48293424)"
5,3.133013e-5,"(x1 ^ 0.4696907) + -0.007061432"
6,3.0576455e-5,"sin(x1 ^ 0.46530166) + -0.00896007"
7,1.8700472e-5,"((x1 ^ 0.4125252) + -0.030138481) - x1"
8,1.5677937e-5,"(log(x0 * x1) * 0.04403084) + 1.2108266"
11,1.0430277e-5,"sin(sin(square(0.60913193 - sin(log(log(x1) * -1.452696)))))"
13,1.02348395e-5,"sin(square(square(sin(cos(1.2510941) - sin(log(-1.5089253 * log(x1)))))))"
14,9.5298465e-6,"sin(square(square(sin((x0 + 0.31687218) - sin(log(log(x1) * -1.503642))))))"
15,9.125746e-6,"sin(square(sin(square(cos(x0 + 1.1943349) - sin(log(log(x1) * -1.4204171))))))"
16,7.726957e-6,"square(square(sin(cos((x2 * -0.004218448) + 1.2510941) - sin(log(log(x1) * -1.5089253)))))"
