Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48347977"
4,3.3006283e-5,"sin(x1 ^ 0.48293406)"
5,3.2744658e-5,"sin(sin(x1 ^ 0.48238572))"
6,1.7136083e-5,"sin((x1 ^ -0.014198514) / 0.35248524)"
7,1.4459574e-5,"(0.61230856 / (x1 ^ -0.22999063)) + -0.1021443"
8,1.1084878e-5,"square(-0.49638608 + cos(log(x1) * -0.12794569))"
9,1.08433405e-5,"sin(square(cos(log(x1) * -0.1280609) + -0.4964256))"
10,1.0817806e-5,"sin(sin(square(cos(log(x1) * -0.12814534) + -0.49572092)))"
12,1.073618e-5,"sin(square(sin(cos((log(x1) * 0.22467121) + 0.26699325) * -0.4753421)))"
13,9.201884e-6,"sin(sin(1.2163596 + (cos(log(x1) * 0.4328383) * 1.0684232)) * 0.16121405)"
19,9.0632975e-6,"sin((cos(log(x1) * 0.39088154) * 0.73587006) + 0.7726223) * (square(-0.43941286 / x0) * (x0 ^ x2))"
