Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.3302596e-5,"x1 ^ 0.4834794"
4,3.3006276e-5,"sin(x1 ^ 0.48293424)"
5,3.1303298e-5,"(x1 ^ 0.46800855) - 0.007925415"
6,1.4858784e-5,"sin((x1 ^ 0.05922399) - 0.6482987)"
7,1.3383098e-5,"((x1 ^ 0.113053136) * 0.700729) - 0.30414766"
8,1.2529237e-5,"sin((x1 ^ 0.14686817) - 0.33529523) * 0.6447589"
9,1.2494737e-5,"sin(0.6465638 * sin((x1 ^ 0.14773387) - 0.3332232))"
11,1.2447785e-5,"sin(sin(sin(sin((x1 ^ 0.15225604) - 0.32532778)))) * 0.6653393"
12,1.2325074e-5,"sin(sin(sin(sin(sin((x1 ^ 0.15195051) - 0.3251929))))) * 0.6653804"
13,1.10371575e-5,"sin(sin(sin(cos(x2 * -0.29531342))) * ((x1 ^ 0.10210953) - 0.47379977))"
14,1.0835471e-5,"(((x1 ^ 0.12391797) - 0.40105164) / cos(1.0177655 ^ (0.12391797 ^ x2))) / 2.7794578"
15,1.0749098e-5,"(((x1 ^ 0.119040385) - 0.4153097) / cos(1.0088915 ^ exp(x1 ^ x2))) / 2.7810411"
17,1.0358934e-5,"(((x1 ^ 0.1184661) - 0.41658756) / cos(sqrt(1.0082835 ^ ((-1.4782717 ^ x2) + x0)))) / 2.7811186"
20,1.0202642e-5,"sin(sin((((x1 ^ 0.1184661) - 0.41658756) / cos(1.0082835 ^ ((cos(x0) ^ x2) + sqrt(x0)))) / 2.7811186))"
