Complexity,Loss,Equation
1,0.0028413564,"0.1724854"
3,0.0001604905,"x1 ^ 0.37267098"
4,5.6190238e-5,"sqrt(x1 * 3.159473)"
5,1.2478733e-5,"(x1 ^ 0.18724908) + -0.23940532"
6,1.247782e-5,"(sin(x1) ^ 0.18546088) + -0.24290985"
8,1.0750005e-5,"((inv(x1) + x2) ^ -0.19429205) - 0.22529767"
9,1.0433295e-5,"((inv(x1) + exp(x2)) ^ -0.20225859) - 0.20961696"
10,9.253745e-6,"((inv(x1) - (-1.1549869 ^ x2)) ^ -0.20225859) - 0.2111832"
11,9.093992e-6,"(((x2 * exp(x2)) + inv(x1)) ^ -0.2055697) - 0.20448121"
12,8.32175e-6,"(((inv(x1) + -0.9247836) + (x2 * 4.0363154)) ^ -0.2055697) - 0.20448121"
13,8.10778e-6,"(((square(x2 + x2) - 1.8387381) + inv(x1)) ^ -0.18603154) - 0.2421343"
16,7.870778e-6,"(((((x2 + x2) + inv(x1)) - 1.8387382) + (x2 + x2)) ^ -0.1858329) - 0.24205577"
17,7.870574e-6,"((((x2 + inv(x1)) + ((x2 - 2.0031488) + x2)) + square(x2)) ^ -0.18593265) - 0.24205807"
18,7.8651665e-6,"((x2 + (((x2 + inv(x1)) - 1.8387382) + (x2 + (x1 + x2)))) ^ -0.18583284) - 0.24205577"
20,7.859189e-6,"((x1 + (((x2 + ((x2 + x2) + inv(x1))) - 1.8387382) + (x2 + -0.2792856))) ^ -0.18593642) - 0.24205688"
