Complexity,Loss,Equation
1,0.0028413564,"0.1724854"
3,0.0015295505,"x1 * 15.112366"
4,5.6190245e-5,"sqrt(x1 * 3.159457)"
5,5.3019125e-5,"sin(sqrt(x1 * 3.2053382))"
6,5.027422e-5,"sin(sin(sqrt(x1 * 3.2521124)))"
7,1.669664e-5,"square(sqrt(x1 ^ 0.24586701)) - 0.14062831"
10,1.0744233e-5,"(sin(exp(sqrt(x1 * 7.3004055))) * 1.8514879) - 1.6020092"
11,6.461103e-6,"(sin(exp(sin(sqrt(x1 * 7.3004055)))) * 1.8514879) - 1.6020092"
14,6.399543e-6,"(sin(exp(sqrt(x1 * 6.702578))) * 1.9657341) - (1.6994894 - (x1 * -0.7022811))"
15,6.3947164e-6,"(sin(exp(sqrt(sin(x1 * 6.702578)))) * 1.9657341) - (1.6994894 - (x1 * -0.7022811))"
16,2.7061974e-6,"((sin(sin(sin(exp(sqrt(x1 * 5.6054735))))) * 4.615531) - 3.1754) - (x2 * 0.004473745)"
19,2.1209269e-6,"((sin(sin(sin(exp(sqrt(x1 * 5.6345463))))) * 4.7143044) - 3.2469) - ((x1 ^ cos(x2)) * 0.06332965)"
