Complexity,Loss,Equation
1,0.0028413564,"0.1724854"
3,0.00016049048,"x1 ^ 0.37267154"
4,5.6190245e-5,"sqrt(x1 * 3.1595025)"
5,1.2512208e-5,"(x1 ^ 0.1914509) + -0.23141688"
7,1.2378101e-5,"((x1 ^ 0.17634226) + -0.26337042) * 1.0137733"
8,1.2197786e-5,"sin(((x1 ^ 0.18053389) + -0.25440678) / x0)"
11,8.9750765e-6,"((x0 ^ (x2 - x0)) * (x1 ^ 0.2006882)) + -0.21697769"
12,8.734719e-6,"sin(((x1 ^ 0.19531806) + -0.22536552) / (x0 + (x2 * x1)))"
13,7.9063675e-6,"(-0.21697769 + (x1 ^ 0.2006882)) * ((1.0463821 * x0) ^ (x0 - x2))"
14,7.903507e-6,"(-0.21697769 + (sin(x1) ^ 0.2006882)) * ((1.0463821 * x0) ^ (x0 - x2))"
15,7.309261e-6,"(-0.22536552 + (x1 ^ 0.19531806)) / (x1 + (x0 ^ ((x1 ^ x2) + 0.7191506)))"
16,7.076487e-6,"sin(((x1 ^ 0.20486586) + -0.20868273) * ((x0 * (1.049371 ^ x0)) - (x2 * 0.025679767)))"
17,7.0211972e-6,"sin((((x0 ^ x0) - (x2 * 0.02148872)) * 1.0556217) * sin((x1 ^ 0.2109643) + -0.19861902))"
18,6.9239095e-6,"sin(sin(((x1 ^ 0.20486586) + -0.20868273) * ((1.049371 * (x0 ^ cos(-0.97731954))) - (x2 * 0.025679767))))"
19,6.850285e-6,"sin(sin(((1.049371 * (x0 ^ cos(sin(x0)))) - (x2 * 0.025679767)) * ((x1 ^ 0.20486586) + -0.20868273)))"
