Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348543"
4,3.300628e-5,"sin(x1 ^ 0.48293468)"
5,3.132904e-5,"(x1 ^ 0.46965122) - 0.0070892954"
6,3.075068e-5,"sin((x1 ^ 0.46522588) - 0.008799433)"
7,1.2637404e-5,"((22.768911 / x1) ^ -0.14341791) + -0.2189774"
9,1.0782357e-5,"square(sin(cos(log(x1) * 0.18826751) * 0.5265072))"
10,1.0723141e-5,"square(sin(sin(cos(log(x1) * 0.19016051) * 0.54348886)))"
11,1.0595194e-5,"square(cos(log(exp(x0) * x1) * 0.21454342) * 0.4691932)"
12,1.0592412e-5,"sin(square(0.46980044 * cos(log(exp(x0) * x1) * 0.21465226)))"
13,1.0591713e-5,"sin(square(0.46980044 * cos(0.21465226 * log(sin(x1 * exp(x0))))))"
14,1.0578205e-5,"sin(square(cos(log(exp(x0) * x1) * 0.215032) * 0.55740637)) * 0.71438605"
15,1.0564013e-5,"square(cos(log(x1) * (x0 * (0.19587937 * (sqrt(x1) - x0)))) * -0.4715792)"
17,1.04105775e-5,"cos(x2 / log(x1)) * square(cos(log(exp(x0) * x1) * 0.21465226) * 0.46980044)"
18,9.842116e-6,"square(cos(log(sin(x1)) * 0.1863891) * (cos(log(sin((x1 ^ x1) ^ x2))) * 0.5187706))"
19,9.510264e-6,"(x0 / (x0 ^ (x0 - x2))) * square(cos(log(x1 * exp(x0)) * 0.21465226) * 0.46980044)"
20,9.430864e-6,"(x0 / (x0 ^ (exp(x1) - x2))) * square(cos(log(x1 * exp(x0)) * 0.21465226) * 0.46980044)"
