Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.4834834"
4,3.3006276e-5,"sin(x1 ^ 0.48293474)"
5,3.274466e-5,"sin(sin(x1 ^ 0.48238966))"
6,3.2517768e-5,"sin(sin(sin(x1 ^ 0.48184007)))"
7,1.530084e-5,"((5.98827 / x1) ^ -0.25349897) + -0.08764434"
8,1.473651e-5,"square(cos(log(x1) * 0.18433098) * 0.50127846)"
9,1.1024313e-5,"sin(square(cos(log(x1) * -0.18680596) * 0.51190156))"
11,9.58733e-6,"square(-0.38570592 * cos(-0.15175003 + cos(log(x1) * 0.42110053)))"
12,9.345393e-6,"sin(square(cos(cos(log(x1) * 0.41615218) + -0.1675038) * -0.3855437))"
14,9.271577e-6,"square(sin(cos(cos((x0 * 0.4218026) * log(x1)) + -0.18763913) * -0.39594412))"
15,9.269586e-6,"square((x0 * 0.39311987) * cos((cos(log(x1) * 0.41343248) + -0.19513498) * x0))"
16,9.241996e-6,"square(((cos(cos(log(x1) * 0.4094483) + -0.19429594) * square(x0)) * 0.40515843) * x0)"
18,9.24183e-6,"square(cos((x0 * -0.19421864) + cos(log(x1) * 0.41022694)) * ((x0 * square(x0)) * 0.40514338))"
