Complexity,Loss,Equation
1,0.0028413564,"0.1724854"
3,0.00016049048,"x1 ^ 0.3726718"
4,5.619025e-5,"sqrt(x1 / 0.316498)"
5,5.301913e-5,"sin(sqrt(x1 / 0.31198707))"
6,4.7957034e-5,"sqrt(x1 / 0.28037998) - x1"
7,4.6210596e-5,"sin(sqrt(x1 / (x1 + 0.29876336)))"
8,4.3275566e-5,"sqrt(x1 / ((x1 / 0.36562023) + 0.28037998))"
9,4.3260916e-5,"sqrt(sin(x1 / ((x1 * x0) + 0.28037998)))"
10,4.2748186e-5,"sin(sin(sqrt(x1 / ((x2 * x1) + 0.30099952))))"
11,2.9026485e-5,"(x1 / (x1 + (0.024827553 + (x1 / 0.40297854)))) ^ 0.9522624"
12,2.7621549e-5,"sqrt((x1 / ((x1 / 0.34689483) + (x1 + 0.16460541))) ^ 1.1347886)"
13,8.740214e-6,"sin((x1 / (((x1 / sin(x0)) + 0.043158237) + x1)) ^ 0.80901784)"
15,8.475249e-6,"(x1 * 1.0310682) / ((((x1 * 1.8005079) + x1) + 0.024750402) / (x1 ^ x1))"
17,6.561971e-6,"sin(sqrt((x1 / (((x1 + x1) + (x1 + 0.035255235)) / (x1 ^ x1))) ^ 1.7482536))"
