Complexity,Loss,Equation
1,0.0028413564,"0.1724854"
3,0.00016049048,"x1 ^ 0.37267223"
4,5.619025e-5,"sqrt(x1 * 3.1594803)"
5,1.3137074e-5,"0.6058895 ^ (x1 ^ -0.2655237)"
7,9.133724e-6,"0.78957945 ^ ((x1 ^ -0.3547531) + 2.050893)"
9,8.544398e-6,"sin(sin(0.7697234 ^ ((x1 ^ -0.34571603) + 1.5153973)))"
10,8.472136e-6,"sin(sin(sin(0.7714906 ^ ((x1 ^ -0.34703317) + 1.5154159))))"
11,8.3884e-6,"sin(sin(sin(sin(0.7741381 ^ ((x1 ^ -0.34969115) + 1.5147887)))))"
12,8.319752e-6,"sin((0.2934522 ^ ((x1 ^ -0.37735116) ^ 0.77213806)) ^ (x1 + 0.3499089))"
13,7.4575023e-6,"(0.3108638 ^ ((x1 ^ -0.2129154) ^ 1.4750842)) ^ ((x1 + 0.31985462) + x1)"
16,4.7696767e-6,"((0.32430685 ^ (x1 ^ -0.28682867)) ^ 0.6719789) ^ (x1 + cos(0.9470234 - (x1 * x2)))"
17,4.472335e-6,"sin((0.44563207 ^ ((x1 ^ -0.39713612) ^ 0.721633)) ^ cos(((x2 * x1) + x1) - 0.993108))"
18,4.032364e-6,"sin(sin((0.451255 ^ ((x1 ^ -0.40142897) ^ 0.7223644)) ^ cos((x2 * x1) + (x1 - 0.9958019))))"
19,3.413502e-6,"sin(((0.5570044 ^ (x1 ^ -0.3104725)) / 1.1861161) ^ cos((x1 + x1) + ((x1 * x2) - 0.8967347)))"
20,2.9426074e-6,"sin(((0.56338835 ^ (x1 ^ -0.31533208)) / 1.1839944) ^ (x1 + cos((x1 + (sin(x1) * x2)) - 0.9001798)))"
