Complexity,Loss,Equation
1,0.00106461,"0.10432145"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348337"
4,3.300628e-5,"sin(x1 ^ 0.48293546)"
5,3.2814238e-5,"sin(sin(x1 ^ 0.4829321))"
7,1.460912e-5,"(0.6246638 / (x1 ^ -0.23622258)) + -0.10024333"
8,1.0972985e-5,"square(cos(log(x1) * -0.18606219)) * 0.25989845"
9,1.0937198e-5,"sin(square(cos(0.18649358 * log(x1))) * 0.2616596)"
11,1.0527006e-5,"(x0 * sin(square(cos(log(x1) * 0.18882573)))) * 0.28169635"
14,1.0099567e-5,"sin((square(x1 + cos(cos(log(x1) * 0.4264322))) * 0.21802512) ^ 1.3144293)"
16,8.660786e-6,"sin(((x0 ^ x2) * (square(cos(cos(log(x1) * 0.42929074))) * 0.23638725)) ^ 1.3455236)"
20,8.6599075e-6,"sin(((square(cos(cos(log(x1) * 0.42893183))) * (0.1434903 ^ sin(sin(x0)))) * (x0 ^ x2)) ^ 1.3521746)"
