Complexity,Loss,Equation
1,0.00106461,"0.10432055"
2,9.31746e-5,"sqrt(x1)"
3,3.3302604e-5,"x1 ^ 0.48348472"
4,3.3006276e-5,"sin(x1 ^ 0.48293424)"
5,1.7411829e-5,"0.43425235 ^ (x1 ^ -0.21151766)"
6,1.720529e-5,"sin(0.43425235 ^ (x1 ^ -0.21151766))"
7,1.3320703e-5,"(0.67659277 ^ (x1 ^ -0.29522458)) * 0.5069926"
8,1.2960919e-5,"sin(0.66943896 ^ (x1 ^ -0.2933039)) * 0.5251707"
9,1.0320082e-5,"((0.6903692 ^ (x1 ^ -0.3110886)) * 0.5744636) - x1"
11,9.275005e-6,"square(cos(cos(log(x1) * 0.4060995) + -0.20836312) * 0.384833)"
14,9.233657e-6,"square(sin(cos(cos(log(x1) * 0.41098416) + -0.20952752) * -0.3896978)) ^ x0"
