Complexity,Loss,Equation
1,0.00106461,"0.1043215"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348615"
4,3.3006283e-5,"sin(x1 ^ 0.48293573)"
5,3.274473e-5,"sin(sin(x1 ^ 0.48240286))"
6,3.220562e-5,"sqrt(x1 ^ 0.9299613) - 0.008574077"
7,3.1094474e-5,"sin(sqrt(x1 ^ 0.9299613) - 0.008574077)"
8,1.0974399e-5,"square(cos(log(x1) * -0.18614075) * 0.51001114)"
9,1.0943104e-5,"sin(square(cos(log(x1) * 0.18657212)) * 0.26193905)"
10,1.0577681e-5,"square(cos((log(x1) * 0.21875617) + 0.24155964) * 0.4642725)"
11,1.0573231e-5,"sin(square(cos((log(x1) * 0.21957317) + 0.245821) * 0.46458906))"
12,1.0571932e-5,"(0.28515077 - x1) * square(cos(0.1914879 * log(x1)) ^ x0)"
13,1.0382499e-5,"sin((0.28515077 - x1) * square(cos(log(x1) * 0.1914879) ^ x0))"
14,1.0357118e-5,"sin(sin((0.28515077 - x1) * (square(cos(log(x1) * 0.1914879)) ^ x0)))"
15,9.569464e-6,"square(cos(cos((log(x1) * -0.3752313) / cos(exp(x0))) + -0.1482463) * -0.38500637)"
