Complexity,Loss,Equation
1,0.0029790818,"0.17979684"
3,0.00021095666,"x1 ^ 0.3638126"
4,0.00011862488,"sqrt(x1 * 3.4167144)"
5,0.00010947643,"(0.35482484 / x1) ^ -0.4693496"
6,0.000105145846,"sin((0.35482484 / x1) ^ -0.4693496)"
7,6.0430662e-5,"(1.0372189 / (x1 ^ -0.23283093)) - 0.1648419"
8,5.9111546e-5,"sin((1.0372944 / (x1 ^ -0.2325254)) - 0.16463932)"
9,5.3914908e-5,"sin(sin((0.336147 / x1) ^ -0.2057983)) - 0.2581257"
10,5.3493313e-5,"sin(sin(sin((0.2740491 / x1) ^ -0.23219319))) - 0.2274682"
11,5.307001e-5,"sin(sin(sin(sin((0.25050688 / x1) ^ -0.25927934)))) - 0.19489142"
12,5.1843323e-5,"sin(sin(sin((0.26693684 / x1) ^ -0.2855598))) - (x1 + 0.16191062)"
13,5.1419458e-5,"sin(sin(sin(sin((0.22396848 / x1) ^ -0.3063916)))) - (x1 + 0.1494336)"
14,5.1029558e-5,"(sin(sin(sin(sin(sin((0.20878069 / x1) ^ -0.3382917))))) - 0.12212725) - x1"
15,4.9954448e-5,"(sin(sin((0.19582248 / x1) ^ -0.35601103)) - ((x1 + x1) + 0.11100781)) - x1"
16,4.9700746e-5,"((sin((0.17916013 / x1) ^ -0.37555847) - ((x1 + x1) + 0.09957822)) - x1) - x1"
17,4.8938717e-5,"((0.19402827 / x1) ^ -0.37656385) - square(sin((((x1 + 0.08590676) + x1) / 0.2744407) - x1))"
