Complexity,Loss,Equation
1,0.00106461,"0.10432024"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.48348203"
4,3.3006276e-5,"sin(x1 ^ 0.48293474)"
5,3.274465e-5,"sin(sin(x1 ^ 0.48238266))"
6,2.7798207e-5,"sqrt(x0 * (x1 * 0.30460244))"
7,2.7311993e-5,"sin(sqrt(x0 * (x1 * 0.30620754)))"
8,2.6846945e-5,"sin(sin(sqrt((x0 * x1) * 0.30782926)))"
9,1.584286e-5,"square(sin(sin(exp((x1 ^ -0.23580968) * -0.3606359))))"
10,1.2932351e-5,"sin(square(exp((x1 ^ -0.23580968) * (-0.3606359 - x1))))"
11,1.2603647e-5,"square(sin(sin(exp(((x1 ^ -0.24153504) * -0.3454535) - x1))))"
12,1.2461905e-5,"sin(sin(sin(square(exp((x1 ^ -0.23559837) * (-0.36050484 - x1))))))"
13,1.1758496e-5,"square(sin(sin(exp((x1 ^ -0.24141859) * (-0.36333922 - x1)) / 0.92572665)))"
14,9.209573e-6,"sin(sin(square(exp(((x1 ^ -0.23942074) * -0.32491982) - exp(x0 / -1.8068703)))))"
15,8.805641e-6,"sin(sin(sin(square(exp(((x1 ^ -0.23732214) * -0.32780632) - exp(x0 / -1.8071631))))))"
16,7.662128e-6,"((0.39274386 - (x1 / 0.2544172)) * sqrt((x0 * x1) / sin(0.28684303))) + sin(-0.019948425)"
17,5.738948e-6,"exp(((x1 ^ -0.20370409) ^ 1.6634372) / -3.6404321) / square(inv(inv(exp(inv(x0))) + -0.12772726))"
18,4.821788e-6,"sin(((0.39274386 - (x1 / 0.2544172)) * sqrt(sin(((x0 + 0.20243384) * x1) / 0.28684303))) + -0.019948425)"
19,2.8144868e-6,"sin(((0.49656963 - (x1 / 0.14787363)) * sqrt(sin(sin((x0 + 0.32355937) * (x1 / 0.3486638))))) + -0.03351736)"
