Complexity,Loss,Equation
1,0.0009810638,"0.10423428"
2,0.000107973334,"sqrt(x1)"
3,5.3981374e-5,"x1 ^ 0.48427308"
4,5.328383e-5,"sin(x1 ^ 0.4837093)"
5,3.174638e-5,"(x1 ^ 0.059688915) - 0.64806867"
6,3.1442873e-5,"sin((x1 ^ 0.059688915) - 0.64806867)"
7,3.129791e-5,"sin(sin((x1 ^ 0.059688915) - 0.64806867))"
8,3.068677e-5,"0.3145331 - (log(x1 * 0.7926538) * -0.041911233)"
9,2.8260854e-5,"(cos(log(x1) * -0.3462765) + 0.8981606) * 0.1274999"
10,2.826024e-5,"(cos(log(sin(x1)) * -0.3462765) + 0.8981606) * 0.1274999"
11,1.3297945e-5,"(cos(log(x1 * x0) * -0.34031433) + 0.8807104) * 0.13013408"
12,1.2022323e-5,"((cos(log(x1) * -0.33000255) + 0.8156521) * sin(x0)) * 0.16251887"
13,1.1683448e-5,"(cos(log(x1) * -0.33000255) + 0.8156521) * sin(sin(x0) * 0.16251887)"
14,7.1587224e-6,"sin((((x0 * cos(log(x1) * -0.25521392)) + 0.44093117) ^ 1.4806646) * 0.15587611)"
15,5.377086e-6,"sin(sin((((x0 * cos(log(x1) * -0.26466063)) + 0.44128326) ^ 1.3130999) * 0.16061592))"
